X,Y
114,393
114,394
115,389
115,390
115,394
115,395
116,390
116,391
116,395
117,391
117,395
117,396
118,391
118,392
118,396
118,397
119,392
119,393
119,397
119,398
120,393
120,394
120,398
120,399
121,394
121,395
121,399
122,395
122,396
122,399
122,400
123,396
123,397
123,400
123,401
124,397
124,398
124,401
124,402
125,398
125,402
125,403
126,398
126,399
126,403
126,404
127,399
127,400
127,404
128,400
128,401
128,404
128,405
129,401
129,402
129,405
129,406
130,402
130,403
130,406
130,407
131,403
131,404
131,407
131,408
132,404
132,408
132,409
133,404
133,405
133,409
133,410
134,405
134,406
134,410
134,411
135,403
135,406
135,407
135,411
135,412
136,403
136,407
136,408
136,412
136,413
137,403
137,404
137,408
137,413
138,404
138,408
138,409
138,413
138,414
139,405
139,409
139,410
139,414
139,415
140,410
140,411
140,415
140,416
141,411
141,412
141,416
142,412
142,413
142,416
142,417
143,413
143,414
143,417
143,418
144,414
144,418
144,419
145,414
145,415
145,419
145,420
146,415
146,416
146,420
146,421
147,416
147,417
147,421
147,422
148,417
148,418
148,422
149,418
149,419
149,422
149,423
150,419
150,420
150,423
150,424
151,420
151,421
151,424
152,421
152,424
152,425
153,421
153,422
153,425
153,426
154,422
154,423
154,426
154,427
155,423
155,424
155,427
155,428
156,424
156,425
156,428
156,429
157,425
157,429
157,430
158,425
158,426
158,430
158,431
159,426
159,427
159,431
160,427
160,428
160,431
160,432
161,428
161,429
161,432
161,433
162,429
162,430
162,433
162,434
163,430
163,434
163,435
164,430
164,431
164,435
164,436
165,431
165,432
165,436
166,432
166,433
166,436
166,437
167,433
167,434
167,437
167,438
168,434
168,435
168,438
168,439
169,435
169,436
169,439
169,440
170,436
170,437
170,440
170,441
171,437
171,441
171,442
172,437
172,438
172,442
172,443
173,438
173,439
173,443
173,444
174,439
174,440
174,444
175,440
175,441
175,444
175,445
176,441
176,442
176,445
176,446
177,442
177,443
177,446
177,447
178,443
178,447
178,448
179,443
179,444
179,448
179,449
180,444
180,445
180,449
180,450
181,445
181,446
181,450
182,446
182,447
182,450
182,451
183,447
183,451
183,452
184,447
184,448
184,452
