x,y
360,84
360,71.74603271484375
360,59.4920654296875
360,47.238094329833984
360,34.984127044677734
361.26983642578125,24
373.5238037109375,24
385.77777099609375,24
398.03173828125,24
410.28570556640625,24
422.5396728515625,24
434.79364013671875,24
447.047607421875,24
459.30157470703125,24
471.5555419921875,24
483.80950927734375,24
496.0634765625,24
508.31744384765625,24
520.5714111328125,24
532.8253784179688,24
545.079345703125,24
557.3333740234375,24
562,31.587310791015625
562,43.841278076171875
562,56.095245361328125
562,68.34921264648438
562,80.60317993164062
553.142822265625,84.00000762939453
540.888916015625,84.00000762939453
528.6349182128906,84
516.3809509277344,84
504.1269836425781,84
492,84.12698364257812
492,96.38095092773438
492,108.63491821289062
492,120.88888549804688
492,133.14285278320312
492,145.39682006835938
492,157.65078735351562
492,169.90475463867188
492,182.15872192382812
492,194.41268920898438
492,206.66668701171875
492,218.920654296875
492,231.17462158203125
492,243.4285888671875
492,255.68255615234375
492,267.9365234375
492,280.19049072265625
492,292.4444580078125
492,304.69842529296875
492,316.952392578125
492,329.20635986328125
492,341.4603271484375
492,353.71429443359375
492,365.96826171875
492,378.22222900390625
492,390.4761962890625
502.73016357421875,392
514.984130859375,392
527.2380981445312,392
539.4920654296875,392
551.7460327148438,392
562,394
562,406.25396728515625
562,418.5079345703125
562,430.76190185546875
562,443.015869140625
562,455.26983642578125
550.4761962890625,456.0000305175781
538.2222290039062,456.0000305175781
525.96826171875,456
513.7142944335938,456
501.4603271484375,456
489.20635986328125,456
476.952392578125,456
464.69842529296875,456
452.4444580078125,456
440.19049072265625,456
427.9365234375,456
415.68255615234375,456
403.4285888671875,456
391.17462158203125,456
378.920654296875,456
366.6666259765625,456
360,450.4127197265625
360,438.15869140625
360,425.90478515625
360,413.6507568359375
360,401.3968505859375
362.857177734375,392
375.111083984375,392
387.3651123046875,392
399.6190185546875,392
411.873046875,392
424.126953125,392
428,383.6190185546875
428,371.3651123046875
428,359.111083984375
428,346.857177734375
428,334.6031494140625
428,322.3492431640625
428,310.09521484375
428,297.84130859375
428,285.5872802734375
428,273.3333740234375
428,261.079345703125
428,248.825439453125
428,236.5714111328125
428,224.3175048828125
428,212.0634765625
428,199.8095703125
428,187.5555419921875
428,175.3016357421875
428,163.047607421875
428,150.793701171875
428,138.5396728515625
428,126.2857666015625
428,114.03173828125
428,101.77783203125
428,89.5238037109375
421.2698974609375,84.00000762939453
409.015869140625,84.00000762939453
396.761962890625,84
384.5079345703125,84
372.2540283203125,84
24,456
24.00001811981201,443.7701110839844
24.000017642974854,431.54022216796875
24.000017166137695,419.3103332519531
24.000016689300537,407.0804443359375
24.00001621246338,394.8505859375
24.00001573562622,382.6206970214844
24.000015258789062,370.39080810546875
24.000014781951904,358.1609191894531
24.000014305114746,345.9310302734375
24.00001335144043,333.7011413574219
24.00001287460327,321.47125244140625
24.000012397766113,309.24139404296875
24.000011920928955,297.011474609375
24.000011444091797,284.7816162109375
24.00001096725464,272.5517272949219
24.00001049041748,260.32183837890625
24.000010013580322,248.09194946289062
24.000009059906006,235.86207580566406
24.000008583068848,223.63218688964844
24.00000810623169,211.4022979736328
24.00000762939453,199.17242431640625
24.000007152557373,186.94253540039062
24.000006675720215,174.712646484375
24.000006198883057,162.48275756835938
24.0000057220459,150.25286865234375
24.000004768371582,138.02297973632812
24.000004291534424,125.7930908203125
24.000003814697266,113.563232421875
24.000003337860107,101.33334350585938
24.00000286102295,89.10345458984375
24.00000238418579,76.87356567382812
24.000001907348633,64.6436767578125
24.000001430511475,52.413787841796875
24.000000476837158,40.18389892578125
24,27.954010009765625
32.275848388671875,24
44.5057373046875,24
56.735626220703125,24
68.96551513671875,24
81.19540405273438,24
88.00000762939453,29.42529296875
88.00000762939453,41.6551513671875
88.00000762939453,53.88507080078125
88.00000762939453,66.11492919921875
88.00000762939453,78.3448486328125
88.00000762939453,90.57470703125
88.00000762939453,102.80462646484375
88.00000762939453,115.03448486328125
88,127.26434326171875
88,139.4942626953125
88,151.72412109375
88,163.95404052734375
88,176.18389892578125
88,188.413818359375
88,200.6436767578125
92.87353515625,208
105.10345458984375,208
117.33331298828125,208
129.563232421875,208
141.7930908203125,208
154.02301025390625,208
166.25286865234375,208
178.4827880859375,208
190.712646484375,208
202.9425048828125,208
215.17242431640625,208
224.00001525878906,204.59771728515625
224,192.3677978515625
224,180.137939453125
224,167.90802001953125
224,155.67816162109375
224,143.44830322265625
224,131.2183837890625
224,118.988525390625
224,106.75860595703125
224,94.52874755859375
224,82.298828125
224,70.0689697265625
224,57.83905029296875
224,45.60919189453125
224,33.37933349609375
226.8505859375,24
239.0804443359375,24
251.310302734375,24
263.540283203125,24
275.7701416015625,24
288,24
288.0000305175781,36.2298583984375
288.0000305175781,48.459716796875
288.0000305175781,60.689697265625
288.0000305175781,72.9195556640625
288.0000305175781,85.1494140625
288.0000305175781,97.3792724609375
288,109.6092529296875
288,121.839111328125
288,134.0689697265625
288,146.298828125
288,158.5286865234375
288,170.7586669921875
288,182.988525390625
288,195.2183837890625
288,207.4482421875
288,219.6781005859375
288,231.9080810546875
288,244.137939453125
288,256.3677978515625
288,268.59765625
288,280.82763671875
288,293.0574951171875
288,305.287353515625
288,317.5172119140625
288,329.7470703125
288,341.97705078125
288,354.2069091796875
288,366.436767578125
288,378.6666259765625
288,390.8966064453125
288,403.12646484375
288,415.3563232421875
288,427.586181640625
288,439.8160400390625
288,452.0460205078125
279.72412109375,456
267.4942626953125,456
255.264404296875,456
243.034423828125,456
230.8045654296875,456
224.00001525878906,450.57470703125
224,438.3448486328125
224,426.114990234375
224,413.885009765625
224,401.6551513671875
224,389.42529296875
224,377.1954345703125
224,364.965576171875
224,352.735595703125
224,340.5057373046875
224,328.27587890625
224,316.0460205078125
224,303.8160400390625
224,291.586181640625
224,279.3563232421875
219.12646484375,272.00001525878906
206.8966064453125,272.00001525878906
194.6666259765625,272.00001525878906
182.436767578125,272.00001525878906
170.2069091796875,272
157.97705078125,272
145.7470703125,272
133.5172119140625,272
121.287353515625,272
109.0574951171875,272
96.82763671875,272
88.00000762939453,275.40234375
88.00000762939453,287.6322021484375
88.00000762939453,299.862060546875
88.00000762939453,312.0919189453125
88.00000762939453,324.3218994140625
88.00000762939453,336.5517578125
